ORDER_KEY,SOURCE_ORDER_ID,ORDER_DATE,SHIP_DATE,SHIPMODE_ID
134,CA-2014-110100,2014-04-25,2014-04-29,4
135,CA-2014-110184,2014-07-12,2014-07-16,4
136,CA-2014-110219,2014-05-05,2014-05-08,1
137,CA-2014-110352,2014-11-23,2014-11-29,4
138,CA-2014-110408,2014-10-18,2014-10-20,3
139,CA-2014-110422,2014-01-21,2014-01-23,3
140,CA-2014-110527,2014-08-09,2014-08-16,4
141,CA-2014-110555,2014-04-11,2014-04-18,4
142,CA-2014-110611,2014-10-06,2014-10-13,4
143,CA-2014-110639,2014-08-23,2014-08-23,2
144,CA-2014-110786,2014-12-29,2015-01-02,4
145,CA-2014-110849,2014-04-18,2014-04-23,4
146,CA-2014-111003,2014-06-01,2014-06-06,4
147,CA-2014-111059,2014-02-03,2014-02-06,3
148,CA-2014-111150,2014-12-31,2015-01-04,4
149,CA-2014-111157,2014-03-02,2014-03-06,4
150,CA-2014-111192,2014-07-30,2014-08-05,4
151,CA-2014-111360,2014-11-24,2014-11-30,4
152,CA-2014-111451,2014-12-26,2014-12-28,1
153,CA-2014-111500,2014-08-17,2014-08-21,4
154,CA-2014-111773,2014-06-29,2014-07-03,4
155,CA-2014-111857,2014-04-23,2014-04-26,3
156,CA-2014-111871,2014-03-18,2014-03-21,3
157,CA-2014-111899,2014-05-04,2014-05-05,1
158,CA-2014-111934,2014-05-05,2014-05-07,1
159,CA-2014-111962,2014-09-29,2014-10-04,4
160,CA-2014-112158,2014-12-02,2014-12-04,1
161,CA-2014-112291,2014-04-03,2014-04-08,4
162,CA-2014-112326,2014-01-04,2014-01-08,4
163,CA-2014-112403,2014-03-31,2014-03-31,2
164,CA-2014-112718,2014-12-16,2014-12-21,4
165,CA-2014-112837,2014-09-11,2014-09-16,4
166,CA-2014-112851,2014-09-17,2014-09-21,4
167,CA-2014-113047,2014-10-24,2014-10-24,2
168,CA-2014-113166,2014-12-24,2014-12-26,1
169,CA-2014-113257,2014-12-16,2014-12-18,3
170,CA-2014-113271,2014-07-09,2014-07-14,4
171,CA-2014-113320,2014-12-12,2014-12-15,3
172,CA-2014-113362,2014-09-14,2014-09-19,4
173,CA-2014-113383,2014-09-10,2014-09-13,1
174,CA-2014-113579,2014-12-13,2014-12-15,3
175,CA-2014-113768,2014-05-13,2014-05-19,4
176,CA-2014-113859,2014-09-13,2014-09-17,4
177,CA-2014-113880,2014-03-01,2014-03-05,4
178,CA-2014-113887,2014-04-05,2014-04-07,1
179,CA-2014-113929,2014-06-16,2014-06-21,4
180,CA-2014-113964,2014-09-23,2014-09-30,4
181,CA-2014-114125,2014-07-09,2014-07-13,4
182,CA-2014-114181,2014-05-10,2014-05-14,3
183,CA-2014-114195,2014-11-01,2014-11-03,1
184,CA-2014-114251,2014-11-05,2014-11-10,4
185,CA-2014-114314,2014-10-11,2014-10-15,4
186,CA-2014-114321,2014-08-20,2014-08-25,4
187,CA-2014-114335,2014-09-28,2014-10-03,4
188,CA-2014-114433,2014-05-13,2014-05-17,4
189,CA-2014-114510,2014-03-14,2014-03-19,4
190,CA-2014-114517,2014-12-23,2014-12-27,4
191,CA-2014-114643,2014-06-13,2014-06-17,4
192,CA-2014-114790,2014-03-11,2014-03-13,3
193,CA-2014-115049,2014-09-26,2014-10-01,4
194,CA-2014-115056,2014-05-02,2014-05-02,2
195,CA-2014-115084,2014-10-18,2014-10-22,4
196,CA-2014-115133,2014-09-26,2014-09-30,4
197,CA-2014-115161,2014-01-31,2014-02-02,1
198,CA-2014-115259,2014-08-25,2014-08-27,3
199,CA-2014-115336,2014-11-18,2014-11-25,4
200,CA-2014-115357,2014-08-06,2014-08-11,3
201,CA-2014-115791,2014-01-16,2014-01-18,3
202,CA-2014-115812,2014-06-09,2014-06-14,4
203,CA-2014-115889,2014-11-02,2014-11-06,4
204,CA-2014-115973,2014-11-24,2014-11-26,1
205,CA-2014-115980,2014-07-15,2014-07-19,4
206,CA-2014-116190,2014-07-26,2014-08-01,4
207,CA-2014-116239,2014-03-04,2014-03-04,2
208,CA-2014-116246,2014-09-12,2014-09-17,3
209,CA-2014-116407,2014-11-15,2014-11-21,4
210,CA-2014-116568,2014-12-14,2014-12-20,4
211,CA-2014-116666,2014-05-08,2014-05-10,1
212,CA-2014-116673,2014-12-15,2014-12-19,3
213,CA-2014-116757,2014-06-30,2014-07-04,4
214,CA-2014-116785,2014-04-26,2014-04-30,4
215,CA-2014-116834,2014-10-11,2014-10-16,4
216,CA-2014-116904,2014-09-23,2014-09-28,4
217,CA-2014-116932,2014-07-21,2014-07-25,4
218,CA-2014-117016,2014-03-04,2014-03-09,4
219,CA-2014-117317,2014-10-19,2014-10-19,2
220,CA-2014-117345,2014-08-01,2014-08-05,4
221,CA-2014-117429,2014-10-07,2014-10-13,4
222,CA-2014-117464,2014-07-22,2014-07-24,3
223,CA-2014-117478,2014-09-21,2014-09-24,1
224,CA-2014-117639,2014-05-21,2014-05-25,4
225,CA-2014-117709,2014-05-04,2014-05-08,4
226,CA-2014-117765,2014-09-07,2014-09-13,4
227,CA-2014-118192,2014-01-13,2014-01-18,4
228,CA-2014-118276,2014-12-29,2015-01-02,4
229,CA-2014-118304,2014-04-29,2014-05-04,4
230,CA-2014-118339,2014-03-17,2014-03-24,4
231,CA-2014-118962,2014-08-05,2014-08-09,4
232,CA-2014-118976,2014-04-28,2014-05-03,4
233,CA-2014-119032,2014-11-27,2014-12-03,4
234,CA-2014-119144,2014-11-16,2014-11-18,1
235,CA-2014-119151,2014-11-25,2014-11-29,3
236,CA-2014-119172,2014-05-11,2014-05-15,4
237,CA-2014-119375,2014-11-17,2014-11-22,4
238,CA-2014-119466,2014-12-15,2014-12-21,4
239,CA-2014-119529,2014-11-03,2014-11-05,3
240,CA-2014-119977,2014-10-08,2014-10-13,3
241,CA-2014-120096,2014-07-04,2014-07-07,1
242,CA-2014-120243,2014-12-27,2014-12-30,3
243,CA-2014-120278,2014-11-07,2014-11-12,4
244,CA-2014-120411,2014-09-20,2014-09-23,1
245,CA-2014-120432,2014-08-24,2014-08-26,3
246,CA-2014-120474,2014-12-01,2014-12-03,1
247,CA-2014-120544,2014-11-23,2014-11-27,4
248,CA-2014-120670,2014-11-02,2014-11-06,4
249,CA-2014-120768,2014-12-19,2014-12-21,3
250,CA-2014-120775,2014-10-03,2014-10-07,4
251,CA-2014-120838,2014-03-23,2014-03-26,3
252,CA-2014-120852,2014-12-20,2014-12-25,4
253,CA-2014-120887,2014-09-27,2014-10-03,4
254,CA-2014-120950,2014-11-06,2014-11-11,4
255,CA-2014-121006,2014-11-10,2014-11-16,4
256,CA-2014-121167,2014-11-28,2014-11-30,3
257,CA-2014-121286,2014-11-04,2014-11-08,3
258,CA-2014-121573,2014-11-03,2014-11-07,4
259,CA-2014-121629,2014-11-28,2014-12-02,4
260,CA-2014-121664,2014-05-06,2014-05-10,4
261,CA-2014-121727,2014-08-19,2014-08-24,4
262,CA-2014-121762,2014-02-14,2014-02-18,4
263,CA-2014-121769,2014-04-08,2014-04-12,4
264,CA-2014-122070,2014-04-22,2014-04-24,3
265,CA-2014-122217,2014-11-24,2014-11-29,4
266,CA-2014-122336,2014-04-13,2014-04-17,3
267,CA-2014-122567,2014-02-16,2014-02-21,4
268,CA-2014-122588,2014-11-25,2014-11-27,3
269,CA-2014-122609,2014-11-12,2014-11-18,4
270,CA-2014-122679,2014-07-22,2014-07-28,4
271,CA-2014-122749,2014-12-03,2014-12-09,4
272,CA-2014-122882,2014-09-07,2014-09-13,4
273,CA-2014-122931,2014-09-29,2014-10-03,4
274,CA-2014-123064,2014-06-30,2014-07-02,1
275,CA-2014-123127,2014-09-08,2014-09-12,4
276,CA-2014-123225,2014-07-11,2014-07-14,1
277,CA-2014-123253,2014-08-22,2014-08-25,3
278,CA-2014-123260,2014-08-26,2014-08-30,4
279,CA-2014-123295,2014-07-18,2014-07-18,2
280,CA-2014-123316,2014-10-13,2014-10-17,4
281,CA-2014-123323,2014-11-07,2014-11-12,4
282,CA-2014-123344,2014-09-24,2014-09-29,4
283,CA-2014-123400,2014-02-02,2014-02-09,4
284,CA-2014-123477,2014-01-18,2014-01-21,3
285,CA-2014-123498,2014-11-07,2014-11-09,1
286,CA-2014-123855,2014-06-18,2014-06-23,4
287,CA-2014-123925,2014-12-17,2014-12-19,3
288,CA-2014-124023,2014-04-07,2014-04-10,1
289,CA-2014-124079,2014-12-13,2014-12-17,4
290,CA-2014-124247,2014-12-16,2014-12-21,4
291,CA-2014-124394,2014-10-17,2014-10-22,3
292,CA-2014-124429,2014-05-27,2014-05-27,2
293,CA-2014-124464,2014-07-14,2014-07-20,4
294,CA-2014-124478,2014-08-08,2014-08-12,4
295,CA-2014-124513,2014-09-21,2014-09-25,4
296,CA-2014-124618,2014-05-02,2014-05-04,3
297,CA-2014-124646,2014-06-22,2014-06-24,1
298,CA-2014-124688,2014-08-27,2014-08-29,1
299,CA-2014-124702,2014-11-18,2014-11-25,4
300,CA-2014-124709,2014-07-27,2014-07-29,3
301,CA-2014-124723,2014-08-05,2014-08-12,4
302,CA-2014-124730,2014-11-26,2014-11-26,2
303,CA-2014-124737,2014-08-23,2014-08-27,4
304,CA-2014-124807,2014-07-12,2014-07-15,3
305,CA-2014-124856,2014-09-29,2014-10-03,3
306,CA-2014-125136,2014-09-28,2014-10-03,4
307,CA-2014-125150,2014-05-16,2014-05-23,4
308,CA-2014-125171,2014-09-03,2014-09-03,2
309,CA-2014-125514,2014-09-21,2014-09-22,1
310,CA-2014-125542,2014-12-05,2014-12-07,1
311,CA-2014-125556,2014-11-14,2014-11-16,3
312,CA-2014-125612,2014-08-03,2014-08-08,4
313,CA-2014-125682,2014-11-22,2014-11-25,1
314,CA-2014-125731,2014-09-10,2014-09-16,4
315,CA-2014-125759,2014-02-08,2014-02-09,1
316,CA-2014-125829,2014-11-04,2014-11-11,4
317,CA-2014-125997,2014-09-20,2014-09-23,1
318,CA-2014-126032,2014-06-23,2014-06-28,4
319,CA-2014-126193,2014-09-07,2014-09-14,4
320,CA-2014-126200,2014-08-25,2014-08-29,4
321,CA-2014-126277,2014-09-13,2014-09-18,3
322,CA-2014-126333,2014-12-23,2014-12-28,4
323,CA-2014-126361,2014-08-04,2014-08-09,3
324,CA-2014-126403,2014-09-09,2014-09-12,3
325,CA-2014-126480,2014-09-20,2014-09-24,4
326,CA-2014-126522,2014-09-01,2014-09-05,3
327,CA-2014-126683,2014-09-29,2014-10-01,3
328,CA-2014-126760,2014-07-26,2014-08-02,4
329,CA-2014-126802,2014-12-29,2015-01-05,4
330,CA-2014-126907,2014-11-01,2014-11-08,4
331,CA-2014-126963,2014-06-15,2014-06-15,2
332,CA-2014-127012,2014-08-11,2014-08-15,4
333,CA-2014-127131,2014-11-24,2014-11-30,4
334,CA-2014-127159,2014-05-12,2014-05-15,1
335,CA-2014-127166,2014-05-21,2014-05-23,3
336,CA-2014-127187,2014-12-04,2014-12-08,4
337,CA-2014-127299,2014-09-19,2014-09-24,4
338,CA-2014-127383,2014-12-31,2015-01-05,4
339,CA-2014-127446,2014-11-25,2014-11-30,4
340,CA-2014-127488,2014-09-22,2014-09-24,3
341,CA-2014-127523,2014-05-11,2014-05-18,4
342,CA-2014-127558,2014-11-15,2014-11-18,1
343,CA-2014-127586,2014-09-26,2014-09-30,4
344,CA-2014-127614,2014-02-11,2014-02-15,4
345,CA-2014-127691,2014-07-22,2014-07-27,4
346,CA-2014-127859,2014-03-17,2014-03-20,3
347,CA-2014-127866,2014-07-20,2014-07-23,1
348,CA-2014-127936,2014-09-02,2014-09-04,1
349,CA-2014-127964,2014-03-03,2014-03-08,4
350,CA-2014-128055,2014-03-31,2014-04-05,4
351,CA-2014-128062,2014-11-19,2014-11-22,3
352,CA-2014-128146,2014-06-21,2014-06-25,4
353,CA-2014-128209,2014-11-17,2014-11-22,4
354,CA-2014-128237,2014-03-25,2014-03-30,4
355,CA-2014-128524,2014-11-11,2014-11-13,1
356,CA-2014-128538,2014-10-11,2014-10-15,4
357,CA-2014-128622,2014-11-15,2014-11-17,3
358,CA-2014-128839,2014-09-08,2014-09-13,4
359,CA-2014-128846,2014-04-07,2014-04-12,4
360,CA-2014-128888,2014-11-15,2014-11-22,4
361,CA-2014-128986,2014-08-03,2014-08-05,3
362,CA-2014-129091,2014-11-22,2014-11-27,4
363,CA-2014-129147,2014-11-02,2014-11-06,4
364,CA-2014-129168,2014-08-17,2014-08-23,4
365,CA-2014-129189,2014-07-21,2014-07-25,4
366,CA-2014-129364,2014-12-08,2014-12-13,4
367,CA-2014-129574,2014-05-26,2014-05-29,1
368,CA-2014-129819,2014-12-13,2014-12-15,3
369,CA-2014-129924,2014-07-12,2014-07-17,4
370,CA-2014-129938,2014-12-15,2014-12-17,3
371,CA-2014-130092,2014-01-11,2014-01-14,1
372,CA-2014-130155,2014-05-19,2014-05-22,1
373,CA-2014-130274,2014-05-03,2014-05-05,1
374,CA-2014-130421,2014-03-03,2014-03-07,4
375,CA-2014-130428,2014-03-31,2014-03-31,2
376,CA-2014-130449,2014-09-06,2014-09-09,1
377,CA-2014-130575,2014-12-14,2014-12-16,1
378,CA-2014-130624,2014-06-21,2014-06-24,1
379,CA-2014-130673,2014-05-20,2014-05-22,3
380,CA-2014-130729,2014-10-24,2014-10-29,4
381,CA-2014-130813,2014-01-06,2014-01-08,3
382,CA-2014-130869,2014-11-17,2014-11-21,4
383,CA-2014-130918,2014-08-22,2014-08-24,3
384,CA-2014-130960,2014-12-30,2015-01-04,4
385,CA-2014-131002,2014-09-07,2014-09-12,3
386,CA-2014-131009,2014-03-01,2014-03-05,4
387,CA-2014-131051,2014-12-01,2014-12-05,4
388,CA-2014-131247,2014-03-30,2014-04-04,4
389,CA-2014-131310,2014-07-12,2014-07-18,4
390,CA-2014-131387,2014-04-28,2014-04-30,1
391,CA-2014-131450,2014-08-08,2014-08-15,4
392,CA-2014-131527,2014-12-01,2014-12-07,4
393,CA-2014-131541,2014-07-28,2014-07-28,2
394,CA-2014-131800,2014-12-30,2015-01-04,4
395,CA-2014-131905,2014-02-06,2014-02-09,1
396,CA-2014-131926,2014-06-01,2014-06-06,3
397,CA-2014-131947,2014-09-17,2014-09-22,4
398,CA-2014-132010,2014-10-13,2014-10-15,1
399,CA-2014-132227,2014-11-04,2014-11-10,4
400,CA-2014-132451,2014-09-26,2014-09-27,1
401,CA-2014-132500,2014-09-08,2014-09-12,4
402,CA-2014-132542,2014-10-06,2014-10-08,3
403,CA-2014-132612,2014-06-09,2014-06-11,3
404,CA-2014-132787,2014-09-19,2014-09-23,4
405,CA-2014-132801,2014-10-07,2014-10-12,4
406,CA-2014-132864,2014-12-02,2014-12-07,4
407,CA-2014-132913,2014-12-24,2014-12-26,1
408,CA-2014-132962,2014-09-13,2014-09-16,1
409,CA-2014-132983,2014-04-28,2014-05-03,4
410,CA-2014-133158,2014-08-19,2014-08-21,3
411,CA-2014-133228,2014-04-04,2014-04-09,4
412,CA-2014-133270,2014-06-06,2014-06-09,1
413,CA-2014-133305,2014-07-11,2014-07-15,4
414,CA-2014-133354,2014-02-22,2014-02-24,1
415,CA-2014-133389,2014-06-22,2014-06-22,2
416,CA-2014-133424,2014-03-30,2014-04-04,4
417,CA-2014-133543,2014-12-22,2014-12-26,4
418,CA-2014-133592,2014-12-31,2015-01-07,4
419,CA-2014-133634,2014-11-05,2014-11-10,4
420,CA-2014-133690,2014-08-03,2014-08-05,1
421,CA-2014-133704,2014-09-20,2014-09-26,4
422,CA-2014-133753,2014-06-09,2014-06-13,3
423,CA-2014-133809,2014-11-18,2014-11-23,3
424,CA-2014-133830,2014-12-05,2014-12-10,4
425,CA-2014-133851,2014-06-09,2014-06-16,4
426,CA-2014-133963,2014-05-18,2014-05-22,3
427,CA-2014-134061,2014-04-29,2014-05-04,4
428,CA-2014-134103,2014-01-30,2014-02-04,4
429,CA-2014-134215,2014-08-04,2014-08-08,4
430,CA-2014-134278,2014-07-06,2014-07-08,1
431,CA-2014-134313,2014-11-01,2014-11-07,4
432,CA-2014-134551,2014-12-20,2014-12-25,4
433,CA-2014-134572,2014-04-20,2014-04-22,3
434,CA-2014-134621,2014-12-21,2014-12-28,4
435,CA-2014-134677,2014-10-06,2014-10-10,4
436,CA-2014-134726,2014-11-02,2014-11-07,3
437,CA-2014-135090,2014-11-22,2014-11-26,4
438,CA-2014-135405,2014-01-09,2014-01-13,4
439,CA-2014-135608,2014-12-08,2014-12-10,3
440,CA-2014-135657,2014-06-03,2014-06-07,3
441,CA-2014-135699,2014-08-29,2014-08-29,2
442,CA-2014-135755,2014-05-03,2014-05-10,4
443,CA-2014-135993,2014-05-28,2014-06-02,4
444,CA-2014-136280,2014-11-29,2014-12-06,4
445,CA-2014-136336,2014-04-21,2014-04-26,4
446,CA-2014-136399,2014-12-16,2014-12-17,1
447,CA-2014-136567,2014-12-20,2014-12-21,1
448,CA-2014-136644,2014-06-16,2014-06-22,4
449,CA-2014-136742,2014-04-06,2014-04-10,4
450,CA-2014-136861,2014-09-05,2014-09-07,1
451,CA-2014-137092,2014-10-20,2014-10-22,3
452,CA-2014-137274,2014-03-29,2014-04-02,4
453,CA-2014-137351,2014-09-30,2014-10-04,4
454,CA-2014-137575,2014-08-06,2014-08-11,4
455,CA-2014-137589,2014-11-03,2014-11-08,4
456,CA-2014-137911,2014-10-09,2014-10-15,4
457,CA-2014-138023,2014-08-15,2014-08-18,1
458,CA-2014-138072,2014-12-30,2015-01-03,4
459,CA-2014-138100,2014-09-15,2014-09-20,4
460,CA-2014-138128,2014-12-09,2014-12-15,4
461,CA-2014-138177,2014-09-19,2014-09-24,4
462,CA-2014-138198,2014-07-18,2014-07-23,4
463,CA-2014-138240,2014-10-09,2014-10-14,4
464,CA-2014-138296,2014-12-05,2014-12-12,4
465,CA-2014-138317,2014-06-21,2014-06-25,4
466,CA-2014-138359,2014-04-01,2014-04-06,4
467,CA-2014-138436,2014-03-26,2014-03-30,4
468,CA-2014-138450,2014-10-18,2014-10-22,4
469,CA-2014-138513,2014-05-23,2014-05-27,4
470,CA-2014-138527,2014-09-12,2014-09-17,4
471,CA-2014-138681,2014-12-20,2014-12-22,1
472,CA-2014-138709,2014-07-04,2014-07-09,4
473,CA-2014-138737,2014-12-07,2014-12-10,1
474,CA-2014-138940,2014-04-11,2014-04-16,3
475,CA-2014-139017,2014-05-11,2014-05-17,4
476,CA-2014-139192,2014-05-27,2014-06-01,3
477,CA-2014-139283,2014-11-23,2014-11-27,4
478,CA-2014-139423,2014-11-01,2014-11-05,4
479,CA-2014-139451,2014-10-12,2014-10-16,4
480,CA-2014-139542,2014-10-25,2014-10-29,4
481,CA-2014-139598,2014-12-26,2014-12-31,4
482,CA-2014-139633,2014-12-17,2014-12-24,4
483,CA-2014-139857,2014-02-02,2014-02-06,4
484,CA-2014-139892,2014-09-08,2014-09-12,4
485,CA-2014-140004,2014-03-21,2014-03-25,4
486,CA-2014-140032,2014-09-08,2014-09-13,4
487,CA-2014-140039,2014-09-13,2014-09-17,4
488,CA-2014-140165,2014-05-13,2014-05-15,1
489,CA-2014-140228,2014-04-28,2014-05-03,4
490,CA-2014-140396,2014-11-20,2014-11-25,4
491,CA-2014-140403,2014-10-10,2014-10-10,2
492,CA-2014-140473,2014-05-30,2014-06-03,4
493,CA-2014-140487,2014-06-14,2014-06-20,4
494,CA-2014-140662,2014-11-17,2014-11-19,1
495,CA-2014-140732,2014-11-11,2014-11-13,3
496,CA-2014-140795,2014-02-01,2014-02-03,1
497,CA-2014-140816,2014-12-20,2014-12-20,2
498,CA-2014-140858,2014-06-28,2014-07-02,4
499,CA-2014-140886,2014-09-30,2014-10-04,4
500,CA-2014-141005,2014-08-15,2014-08-18,1
501,CA-2014-141110,2014-11-26,2014-12-01,4
502,CA-2014-141152,2014-09-16,2014-09-19,1
503,CA-2014-141173,2014-11-18,2014-11-20,3
504,CA-2014-141278,2014-06-21,2014-06-24,1
505,CA-2014-141299,2014-06-03,2014-06-07,3
506,CA-2014-141313,2014-12-28,2015-01-01,4
507,CA-2014-141355,2014-09-25,2014-09-30,4
508,CA-2014-141607,2014-12-12,2014-12-17,4
509,CA-2014-141649,2014-09-30,2014-09-30,2
510,CA-2014-141726,2014-07-20,2014-07-22,1
511,CA-2014-141796,2014-06-21,2014-06-21,2
512,CA-2014-141817,2014-01-05,2014-01-12,4
513,CA-2014-141838,2014-03-26,2014-03-31,3
514,CA-2014-141901,2014-08-09,2014-08-14,4
